TraceName,DRAM,Cpus,BlockSize,MSHR,Partitioning,Latency,ROB,IPC
648,True,4,512,256,basic,0,1600,0.09998405095199998
648,True,4,8,256,basic,0,1600,0.0425841793452
648,True,4,128,256,basic,0,1600,0.18001502904
648,True,4,2048,256,basic,0,1600,0.18218459512
648,True,4,32,256,basic,0,1600,0.17601489158
648,True,4,512,256,basic,0,1600,0.18119414103999998
648,True,4,8,256,basic,0,1600,0.08285546329499999
648,True,4,128,256,basic,0,1600,0.19420992612
648,True,4,2048,256,basic,0,1600,0.19636249122
648,True,4,32,256,basic,0,1600,0.19091310272999998
648,True,4,512,256,basic,0,1600,0.19549013589
648,True,4,8,256,basic,0,1600,0.074926906803
648,True,4,128,256,basic,0,1600,0.1882407078
648,True,4,2048,256,basic,0,1600,0.1901548989
648,True,4,32,256,basic,0,1600,0.1849420593
648,True,4,512,256,basic,0,1600,0.18939929715
648,True,4,8,256,basic,0,1600,0.054019025325
648,True,4,128,256,basic,0,1600,0.22616804788000003
648,True,4,2048,256,basic,0,1600,0.22869174420000002
648,True,4,32,256,basic,0,1600,0.22214180404
648,True,4,512,256,basic,0,1600,0.22800246876000002
648,True,4,8,256,basic,0,1600,0.088154681816
649,True,4,128,256,basic,0,1600,0.053800826242
649,True,4,2048,256,basic,0,1600,0.121534180048
649,True,4,32,256,basic,0,1600,0.030139535870299997
649,True,4,512,256,basic,0,1600,0.106358476793
649,True,4,8,256,basic,0,1600,0.0092436662063
649,True,4,128,256,basic,0,1600,0.26508856507
649,True,4,2048,256,basic,0,1600,0.26581819115
649,True,4,32,256,basic,0,1600,0.26055985147
649,True,4,512,256,basic,0,1600,0.26386203847
649,True,4,8,256,basic,0,1600,0.10832808728799999
649,True,4,128,256,basic,0,1600,0.20587094348
649,True,4,2048,256,basic,0,1600,0.3771841836
649,True,4,32,256,basic,0,1600,0.08492374870000001
649,True,4,512,256,basic,0,1600,0.3468827716
649,True,4,8,256,basic,0,1600,0.03334233072
649,True,4,128,256,basic,0,1600,0.54624305967
649,True,4,2048,256,basic,0,1600,1.2390499288999999
649,True,4,32,256,basic,0,1600,0.30809576391300003
649,True,4,512,256,basic,0,1600,1.1163929858200001
649,True,4,8,256,basic,0,1600,0.094101961212
